date,year,month,market,commodity,unit,currency,price
2016-01-01,2016,1,Nairobi,"Maize (White Grain)","per 90kg bag",KES,3010.0
2016-01-01,2016,1,Mombasa,"Maize (White Grain)","per 90kg bag",KES,3247.0
2016-01-01,2016,1,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2894.0
2016-01-01,2016,1,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2895.0
2016-01-01,2016,1,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2862.0
2016-01-01,2016,1,Garissa,"Maize (White Grain)","per 90kg bag",KES,3359.0
2016-02-01,2016,2,Nairobi,"Maize (White Grain)","per 90kg bag",KES,3189.0
2016-02-01,2016,2,Mombasa,"Maize (White Grain)","per 90kg bag",KES,3362.0
2016-02-01,2016,2,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2995.0
2016-02-01,2016,2,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2940.0
2016-02-01,2016,2,Nakuru,"Maize (White Grain)","per 90kg bag",KES,3017.0
2016-02-01,2016,2,Garissa,"Maize (White Grain)","per 90kg bag",KES,3886.0
2016-03-01,2016,3,Nairobi,"Maize (White Grain)","per 90kg bag",KES,3060.0
2016-03-01,2016,3,Mombasa,"Maize (White Grain)","per 90kg bag",KES,3235.0
2016-03-01,2016,3,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2778.0
2016-03-01,2016,3,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2661.0
2016-03-01,2016,3,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2861.0
2016-03-01,2016,3,Garissa,"Maize (White Grain)","per 90kg bag",KES,3703.0
2016-04-01,2016,4,Nairobi,"Maize (White Grain)","per 90kg bag",KES,2741.0
2016-04-01,2016,4,Mombasa,"Maize (White Grain)","per 90kg bag",KES,2943.0
2016-04-01,2016,4,Kisumu,"Maize (White Grain)","per 90kg bag",KES,2683.0
2016-04-01,2016,4,Eldoret,"Maize (White Grain)","per 90kg bag",KES,2397.0
2016-04-01,2016,4,Nakuru,"Maize (White Grain)","per 90kg bag",KES,2568.0
2016-04-01,2016,4,Garissa,"Maize (White Grain)","per 90kg bag",KES,3293.0
